artist,song,song_id,playlist_id,rating
Shawn Mendes,Mercy,1oHCgpheYhmhQbhCmbhpWn,1RGcVb0M6nwlDmOJwEYGl9,1
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),7nD9nN3jord9wWcfW3Gkcm,1RGcVb0M6nwlDmOJwEYGl9,1
Young Thug,Pick Up The Phone (feat. Quavo),5NAMZI9lVhxNa6AZp3iQVH,1RGcVb0M6nwlDmOJwEYGl9,1
Lil Uzi Vert,Money Longer,0B8QzDH7YWih85V5SEMnyJ,1RGcVb0M6nwlDmOJwEYGl9,1
Joel Adams,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,1RGcVb0M6nwlDmOJwEYGl9,1
The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw,1RGcVb0M6nwlDmOJwEYGl9,1
Rae Sremmurd,Look Alive,2IGr3q6ljcpLvHDFLtI0yW,1RGcVb0M6nwlDmOJwEYGl9,1
Rae Sremmurd,Come Get Her,1Ser4X0TKttOvo8bgdytTP,1RGcVb0M6nwlDmOJwEYGl9,1
J. Cole,Work Out,6rbeWjEavBHvX2kr6lSogS,1RGcVb0M6nwlDmOJwEYGl9,1
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,1RGcVb0M6nwlDmOJwEYGl9,1
Aminé,Caroline,5GFDrUTLGJix84sNhjCG0g,1RGcVb0M6nwlDmOJwEYGl9,1
DJ Snake,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,1RGcVb0M6nwlDmOJwEYGl9,1
Too $hort,Blow the Whistle,2lMg3lCMOGistaWBNGjuT3,1RGcVb0M6nwlDmOJwEYGl9,1
Sia,The Greatest,3XIIOCu6B8PuGq5j61asEM,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,24K Magic,2gFvRmQiWg9fN9i74Q0aiw,1RGcVb0M6nwlDmOJwEYGl9,1
OneRepublic,Wherever I Go,7kftK4n15rl1wbpfjSq2Tk,1RGcVb0M6nwlDmOJwEYGl9,1
Andy Grammer,Fresh Eyes,4nMlau89VAjmV7agkl7OY3,1RGcVb0M6nwlDmOJwEYGl9,1
Maroon 5,Don't Wanna Know,0AKejOKlGdiB53QpwAeenO,1RGcVb0M6nwlDmOJwEYGl9,1
Hailee Steinfeld,Starving,4Ce37cRWvM1vIGGynKcs22,1RGcVb0M6nwlDmOJwEYGl9,1
James Arthur,Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Fake Love,6NMNgWgEAzde5M8U3lc6FN,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,1RGcVb0M6nwlDmOJwEYGl9,1
The Weeknd,Starboy,2IY7eOUDjw2ArKYxKa2jXc,1RGcVb0M6nwlDmOJwEYGl9,1
John Mayer,Heartbreak Warfare,4gs07VlJST4bdxGbBsXVue,1RGcVb0M6nwlDmOJwEYGl9,1
John Mayer,Dear Marie,5Aq5TIy9jVK70aL7xcE9oa,1RGcVb0M6nwlDmOJwEYGl9,1
John Mayer,Wildfire,0QTCTu0CXv4X1JEE4gNpGv,1RGcVb0M6nwlDmOJwEYGl9,1
David Guetta,Without You (feat. Usher),7rGMKCgeYXpBecQ1FPb3oc,1RGcVb0M6nwlDmOJwEYGl9,1
a-ha,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,1RGcVb0M6nwlDmOJwEYGl9,1
Simon & Garfunkel,The Sound of Silence,2LkaNhCrNVmcYgXJeLVmsw,1RGcVb0M6nwlDmOJwEYGl9,1
Rae Sremmurd,Black Beatles,6fujklziTHa8uoM5OQSfIo,1RGcVb0M6nwlDmOJwEYGl9,1
The Weeknd,Party Monster,4RhGCDt69efGdC1SxJRI5r,1RGcVb0M6nwlDmOJwEYGl9,1
Fall Out Boy,The Phoenix,53AuxddsgPSlqM619nJhSd,1RGcVb0M6nwlDmOJwEYGl9,1
Fall Out Boy,Irresistible,3znPiywA0q1VK2jgAZFDoI,1RGcVb0M6nwlDmOJwEYGl9,1
artist,song,song_id,playlist_id,rating
Austin Mahone,All I Ever Need,50x8pt9ZLSXqd3dF3YJYqm,1RGcVb0M6nwlDmOJwEYGl9,1
Tyler Shaw,House of Cards,2bDtRrhdmaRM6jcJef9Lc2,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,Life Of The Party,0Ks8zrV1CH0ZCLuXNum3Wa,1RGcVb0M6nwlDmOJwEYGl9,1
Rudimental,Lay It All on Me (feat. Ed Sheeran),60hmtJmGbsAEXC0KCKMlN3,1RGcVb0M6nwlDmOJwEYGl9,1
George Ezra,Budapest,7q0aQpiLv5tIsupcgQ3Ny4,1RGcVb0M6nwlDmOJwEYGl9,1
Charlie Puth,One Call Away,2uEJanMvnA1dXgX1ASnPQm,1RGcVb0M6nwlDmOJwEYGl9,1
Alessia Cara,Here,1wYZZtamWTQAoj8B812uKQ,1RGcVb0M6nwlDmOJwEYGl9,1
Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,1RGcVb0M6nwlDmOJwEYGl9,1
G-Eazy,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,1RGcVb0M6nwlDmOJwEYGl9,1
Daya,Hide Away,2hsza71y54ABzmabyNDtM4,1RGcVb0M6nwlDmOJwEYGl9,1
Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,1RGcVb0M6nwlDmOJwEYGl9,1
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,1RGcVb0M6nwlDmOJwEYGl9,1
Imagine Dragons,I Bet My Life,15DrrIod12Tc2IoMaHiwlQ,1RGcVb0M6nwlDmOJwEYGl9,1
Future,Where Ya At (feat. Drake),5nN8BwAQDJDguq7Dpd3JQQ,1RGcVb0M6nwlDmOJwEYGl9,1
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF,1RGcVb0M6nwlDmOJwEYGl9,1
Lukas Graham,7 Years,2vDT1uU6hZgdp3PbWGr0Xy,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,I Know What You Did Last Summer,7M9t7BCy51ITF8IMyiemzk,1RGcVb0M6nwlDmOJwEYGl9,1
Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,1RGcVb0M6nwlDmOJwEYGl9,1
Stephen Speaks,Out Of My League,6nr9GhZ2D1YLHanSHMHYN1,1RGcVb0M6nwlDmOJwEYGl9,1
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Right Hand,3lSR267IJfT54p0Gfuw7mi,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,The Other Side (feat. CeeLo Green and B.o.B),0HasfWMrNxTjycDy9TkRtA,1RGcVb0M6nwlDmOJwEYGl9,1
Selena Gomez,Hands To Myself,1LoriJC05IrHIDwj3q0KC1,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Summer Sixteen,17Q87zeXgsAi9iQQbMu9v0,1RGcVb0M6nwlDmOJwEYGl9,1
Coldplay,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,1RGcVb0M6nwlDmOJwEYGl9,1
Adele,When We Were Young,7A2eDNBgJrEVE87C8pOMqN,1RGcVb0M6nwlDmOJwEYGl9,1
BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,1RGcVb0M6nwlDmOJwEYGl9,1
Bas,Night Job,1rgiGK1UFUSstew3z0ituh,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Wake Me Up,0ygAYQQy7bfDN6gH640bbl,1RGcVb0M6nwlDmOJwEYGl9,1
Desiigner,Panda,275a9yzwGB6ncAW4SxY7q3,1RGcVb0M6nwlDmOJwEYGl9,1
Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",1PWnAEQcbwQwK759otUbta,1RGcVb0M6nwlDmOJwEYGl9,1
Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC,1RGcVb0M6nwlDmOJwEYGl9,1
Jeremih,oui,0PJIbOdMs3bd5AT8liULMQ,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Pop Style,23NWj2izXAJ4yL6Nah73wf,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,One Dance,11hqMWwX7sF3sOGdtijofF,1RGcVb0M6nwlDmOJwEYGl9,1
gnash,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,1RGcVb0M6nwlDmOJwEYGl9,1
Flume,Never Be Like You (feat. Kai),6y0igZArWVi6Iz0rj35c1Y,1RGcVb0M6nwlDmOJwEYGl9,1
Timeflies,Once In a While,6cREm4bV7V79Yxdilx9HDo,1RGcVb0M6nwlDmOJwEYGl9,1
Young Thug,Hercules,5MD2QLnFM2ChpKAh33z0zr,1RGcVb0M6nwlDmOJwEYGl9,1
O.T. Genasis,Cut It (feat. Young Dolph),376KnY4TrgBITxjlnbnmIy,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Too Good,3BtuIIrQlkujKPuWF2B85z,1RGcVb0M6nwlDmOJwEYGl9,1
